,_id,username,headline,interests,about_me_text,About,City,Details,Ethnicity,Intent,Education,Personality,Profession,I am Seeking a,For,Needs Test,Chemistry,Do you drink?,Do you want children?,Marital Status,Do you do drugs?,Hair Color,Eye Color,Do you have a car?,Do you have children?,Longest Relationship,How ambitious are you?,Pets,Second Language,Age,Gender,Zodiac Sign
match_307,5d886cb76dcc122b63b1ae02,caddy6535,Im back,None,Movies dancing travel and just hanging out,Non-Smoker with Prefer Not To Say body type," Holland, Texas ","67 year old Male, 5' 10"" (178cm), Non-religious",Caucasian,caddy6535 wants to find someone to marry.,High school,Hopeless Romantic,Customer Service,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Bald,Blue,Yes,All my kids are over 18,Over 10 years,Somewhat Ambitious,Dog,,67,M,Aquarius
match_308,5d886cb76dcc122b63b1ae03,michaelM1953,Love coffee and llve to watch oldies,None,I enjoy playing music and listening to music. I am a musician who loves to travel and meet new people. I love football and basketball and try to be active as much as possible,Non-Smoker with Thin body type," Seguin, Texas ","66 year old Male, 6' 0"" (183cm), Baptist",Black,michaelM1953 wants to date but nothing serious.,High school,Music Snob,I own my own business,Woman,Friends,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Bald,Brown,Yes,All my kids are over 18,Over 7 years,Ambitious,No Pets,,66,M,Aquarius
match_309,5d886cb76dcc122b63b1ae04,troy9880,Lets go camping.,None,"I enjoy the out doors. I am a NASCAR fan, GO TONY. I work all week and the weekends are mine. To go camping, fishing, boating and dirt bike riding. I work for a large contractor company for the last 28 years. I'm looking forward to retiring soon. And building a RV park. I love Texas, it's where i'm from.",Non-Smoker with A Few Extra Pounds body type," Buda, Texas ","56 year old Male, 5' 8"" (173cm), Christian - other",Caucasian,troy9880 is looking for a relationship.,High school,Blue Collar,Contractor,Woman,Long Term,Not Completed,Not Completed,Often (>3times/week),Does not want children,Divorced,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 8 years,Ambitious,No Pets,,56,M,Virgo
match_31,5d886cb76dcc122b63b1acee,Barnes0147,I hope you are as romantic as I am,"['Dogs', 'Movies', 'Reading']",I would love to be in a relationship again. I miss the closeness and cuddling. It is so nice to wake up to someone you care about in the morning. I love to cook but it is nice to go out to dinner and have a drink and maybe a slow dance or two!!,Non-Smoker with Average body type," Burnet, Texas ","67 year old Male, 5' 6"" (168cm), Catholic",Caucasian,Barnes0147 is looking for a relationship.,Graduate Degree,Animal Lover,Geologist,Woman,Long Term,Not Completed,View his chemistry results,Socially,Does not want children,Divorced,No,Grey,Blue,Yes,All my kids are over 18,Over 10 years,Ambitious,Cat & Dog,,67,M,Scorpio
match_310,5d886cb76dcc122b63b1ae05,casey098,Hello there ??,None,Questions? please ask..,Non-Smoker with Average body type," Round rock, Texas ","58 year old Male, 5' 8"" (173cm), Other",Caucasian,casey098 wants to date but nothing serious.,Some college,Free Thinker,Maintance for Government,Woman,Dating,Not Completed,View his chemistry results,Socially,Prefer Not To Say,Divorced,No,,Brown,Yes,Yes,Over 10 years,Not Ambitious,No Pets,,58,M,Sagittarius
match_311,5d886cb76dcc122b63b1ae06,wazzitu,Curious,"['Music', 'REMODELING HOUSES', 'Creating things']","Hi I am a fun upbeat guy with a good sense of humor. I dabble in Real Estate and have flipped about 20 houses. I grew up in a big musical family so music is one of my passions, along with travel (sailing in Spain and Italy, the National Parks) I am very creative and like to putter in the yard. I listen to a wide variety of music, from Willie to Spoon to Miles Davis and everything in between. Care to Dance!",Non-Smoker with Average body type," Austin, Texas ","65 year old Male, 5' 9"" (175cm), Non-religious",Caucasian,wazzitu is looking for a relationship.,Associates Degree,Artsy,lover of life,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Mixed Color,Blue,Yes,Yes,Over 5 years,Ambitious,No Pets,,65,M,Pisces
match_312,5d886cb76dcc122b63b1ae07,nunn59,Good honest trustworthy man..,None,I''m looking for Long term relationship with a Good honest woman that wants one man in her life and willing to show her love everyday as I will towards her... I don''t believe in cheating or lies..she should be the same... I have a big heart full of love for the right woman... do you have a big heart to,Non-Smoker with Thin body type," Rockdale, Texas ","59 year old Male, 5' 0"" (152cm), Christian - other",Caucasian,nunn59 is actively seeking a relationship.,High school,Class Clown,Truck Driver,Woman,Long Term,Not Completed,Not Completed,Often (>3times/week),Does not want children,Divorced,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 6 years,Somewhat Ambitious,No Pets,,59,M,Libra
match_313,5d886cb76dcc122b63b1ae08,brothert,Loverboyl,None,I like movies fishing and playing pool,Non-Smoker with Average body type," Austin, Texas ","55 year old Male, 5' 9"" (175cm), Catholic",Hispanic,brothert is looking for a relationship.,High school,Animal Lover,Disabled,Woman,Long Term,Not Completed,Not Completed,No,Does not want children,Single,No,Grey,Brown,Yes,All my kids are over 18,Over 4 years,Somewhat Ambitious,Dog,,55,M,Leo
match_314,5d886cb76dcc122b63b1ae09,LACLC,REALISTIC,None,"Tell you everything you want to know once I know you are a real person and not a Fake. Not on pills or bi-polar. I am full conservative. If I contact you first and you want to block then fine with me. I can prove all I say. If you are only accepting upgraded users I cannot send a note. If you think it is going to be a game then don't bother wasting your time or mine. Responsible, Respectful and smart. Soft heart and loyal I will be to the woman that will open up to me. I have two little guys I love and that is that.",Non-Smoker with Thin body type," Austin, Texas ","64 year old Male, 5' 7"" (170cm), Other",Caucasian,LACLC is actively seeking a relationship.,Some college,Animal Lover,Tool Design Engineering,Woman,Long Term,Not Completed,Not Completed,No,Does not want children,Divorced,No,Brown,Blue,Yes,Yes,Over 5 years,Somewhat Ambitious,Dog,,64,M,Capricorn
match_315,5d886cb76dcc122b63b1ae0a,fleetwood298,Take a chance,"['Motorcycles', 'Sports', 'Music']",Well here I go again. Need to send me a message if you want to meet,Non-Smoker with Average body type," Austin, Texas ","56 year old Male, 6' 0"" (183cm), Other",Caucasian,fleetwood298 is looking for a relationship.,Some college,Blue Collar,Truck Driver,Woman,Long Term,Viewhis relationship needs,View his chemistry results,No,Does not want children,Divorced,No,Blond(e),Blue,Yes,All my kids are over 18,Over 6 years,Somewhat Ambitious,Dog,,56,M,Libra
match_316,5d886cb76dcc122b63b1ae0b,Marcelino60,Lookin For My Special Beautiful Woman,"['Walking at the park', 'Dancng', 'Music']","My Name Is Marcelino Martinez Jr I''m Native American/Mexican. I Love To Enjoy Life With Someone Full of Life. I''m Honest, Loyal, Funny, Romantic, Smart, Full of Life.",Non-Smoker with Average body type," San antonio, Texas ","58 year old Male, 5' 10"" (178cm), Other",Native American,Marcelino60 is actively seeking a relationship.,Some college,Hopeless Romantic,MAINTENANCE Specialist,Woman,Dating,Not Completed,View his chemistry results,No,Undecided/Open,Single,No,Mixed Color,Brown,Yes,No,Over 10 years,Ambitious,No Pets,Spanish,58,M,Scorpio
match_317,5d886cb76dcc122b63b1ae0c,Spicy317,Live life with Passion!,"['Running', 'Biking', 'Working out']","I love to have passion and excitement in my life. I want to get to know someone who brings out the best in me and encourages me to laugh, be silly, and who can be silly with me. My work is intense and I want to escape it with someone who will nurture me and allow me to nurture them in return.. I love to cook and enjoy company in the kitchen. Laughing is supremely important to me; seeing irony and humor in situations is also key.. I love a woman who can hold my hand and have it be the sexiest move in all the world.The woman I'm looking for should be passionate about life, up for adventures and have supportive fun friends. You can tell a lot about people from the company they keep and those who are dear to them. I hope to make a difference in this world one tiny bit at a time.I would like to spend time with a woman who is confident but not arrogant, who has integrity and is honest...not afraid to speak her mind and not afraid when I speak mine.I am open and kind,energetic but peaceful, thoughtful and patient, supportive and encouraging. I am a good listener and enjoy pampering the woman that I love. I feel that good communication is imperative and, if not there in the beginning, can be improved with time and effort.There's nothing as exciting as a comeback - seeing someone with dreams, and then getting a second chance.You only live once, but if you do it right, once is enough. I am a person who is positive about every aspect of life. There are many things I like to do, to see, and to experience. I like to go to Beach, I like to play, I like to dream; I like to talk, I like to listen. I like to travel.",Non-Smoker with Athletic body type," Austin, Texas ","57 year old Male, 5' 10"" (178cm), Catholic",Hispanic,Spicy317 is looking for a relationship.,Masters Degree,Animal Lover,Counselor,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Very Ambitious,Dog,Spanish,57,M,Capricorn
match_318,5d886cb76dcc122b63b1ae0d,yardartntx,"For all the days I lived awake, but half asleep...","['Life', 'Love', 'Lightning']","No fear. No judgements. No meet me. Ya gotta send an email.Search youtube; Zevon Letterman Mutineer; Kat Edmonson Lucky; Fleetwood Mac Rhiannon Live 1976 Stevie Nicks; Lone Justice, Wheels; or Richie Havens Just Like A Woman 30th Anniversary Concert. If you live or understand the passion within these performances, contact me immediately.....How did people our age end up with this (online services?) as the way to meet each other? Whatever happened to party lines, or crank calls, or the odd, flirtatious glance across the room? Or the random pause in the local grocer? A trail? Without our headphone? Do you remember actual interaction? We could always find each other in the most unusual places. Anyway, it's 2019, its modern, so here goes..First and foremost, I'm a man not a boy. Like Kevin Costner said in 'Bull Durham' ""After 20 years in the minors, I don't try out."" You know what you’re going to get with a man like me. With that being said, if you're looking for a boy - girl relationship, pass me by. However, if you’re a woman, along with all that term can imply, and you're tired of being in a youthful relationship, feel free to contact me. I listen, learn, love, feel and enjoy all that life can give, and would expect the same from a like-minded partner. I'm easy to please, low maintenance, (though I can still be quite playful) and would like to meet someone of similar qualities, though I'm not above a sincere comment on your beauty and style, as long as it’s returned, every once in a while. Life takes us places, while we were where we were supposed to beIntelligent, educated, somewhat opinionated, always on the funny side of the street. I can be goofy to intense, given the right venue to express myself. High Tech personality, with a fun side that borders on the fringe of society. I can laugh at all that life brings our way, love the things we cannot change, read, converse, and understand, and I'm always faithful to the one I'm with. Though I've had my wild side, ;o. I'm comfortable in my own skin, and very comfortable in any social circumstance. I've met world leaders, and world creepers. I've lived a very diverse life. I've earned and maintain an advanced PhD in life, and if you make it within the circle, the tale is intriguing to say the least. I am an enigma. I'm conservative on some issues, and liberal on others. I think that makes me sane as well.... Born in the year of the Tiger and being a Virgo, I possess many of the qualities of the same (though also understand that its all mental BS). Cursed with intellect, many people can find me hard to decipher, though I fit well in all settings, and all groups. My favorite movie of all time is ""The Razor's Edge"" with Bill Murray, ""Everafter"", ""Dazed and Confused"" (My early life as seen through a camera) and I loved ""Joe Dirt"" as well. Some of my favorite books include “1984”, ""Freakonomics"", and ""The 10k Year Explosion"", “Why Orwell Matters” (anything by Hitchens), and “The Art of War”, though I'm versed in many other tastes as well. No, I’m not a vampire….. Anne Rice rocked the genre for me as a youth, but that was as far as that era went….Though I can participate in any sports activity, my game is darts. I love the competition and math aspect of the game and have competed and taught on the international level. I love movies, reading, swimming, kayaking, relaxing, biking, lazy weekend mornings in bed, and maintain a wide variety of additional interests. I do suffer from Cedar Fever, (and other allergies like dogs and cats, but that can just go f-off, since I can’t live without my animals, breathing can take a back seat…. lol) though it looks like I've found the cure. Oops, spoke to soon. I carry the experience of life, as everyone our age does, though I’ve learned that not everyone can see or deal with it. We've made it this far in life for a reason, to go on until we go no more. So why not do it with a smile? I sometimes skate in Austin with the adult crowd on Tuesday nights. Seems I forgot somewhere down my path, how much fun I used to have, plus I like the exercise. I live my life, and want someone to share my time with. I'll have a drink only on very special occasions, (is wine still considered alcohol?) but don't mind if you do at all. My past makes me highly friendly in a non partaking manner, but again, don't mind either way. I see it this way, we’ll know it’s right once we’ve spent some time together. Let's meet up. The woman I seek is capable of emotions; love, anger, joy and sorrow, or any additions from beyond the afore mentioned. I’m flexible. I'm looking to feel the welling in my being, the breeze across my face as we wind through the hills, or pass the time away watching a meteor shower from out in the country. I want that spark. I can deal with hippies, prom queens, political activists, professionals, parents, loners, flirts, lovers, independents, romantics or social gadflies. Must love animals, I currently house-sit a mediocre (slightly less than great) Dane, a Boxer/lab mix I was told (though she looks remarkably like a miniature Rottie) and a stray orange cat who are all rescues and more than a handful. We're a package deal BTW. No exceptions there.Please have an open mind, and not someone who deals in absolutes, or deal breakers. Our lives in this world encompasses a myriad of facets that all interact within this very big place, and you never know where or what the next big thing will be, or where life will take you. Adventure and fun are not mutually exclusive, and neither is work and sorrow, or the very pleasant aspect of just being. We'd all like to be somewhere else from time to time. I'd just prefer that you spend most of your time in the here & now. If you've read everything I wrote, made it this far and aren't clicking to the next hunky profile, take a chance at meeting a true original, and having a wonderful time on this planet, and let fantasy time be what it is, an excuse for chocolate.Update: I’m going to state a few things here, first off, just because you read this far doesn’t mean that you know me. This is nothing more than a marketing “teaser”. You can’t get the full picture until you meet me, and spend a while walking around in the well-worn moccasins of life. And to that end, I’ll state here where you can find me most weekends 9:45ish – 10:45ish am. I eat my breakfast on the Bastrop bridge overlooking the Colorado river among the Locks of Love, Mystery and Broken Dreams. If you feel adventurous, or have a curious streak within your being, grab your folding chair (or we can sit on the ground, I’m flexible) a bowl of flakes, some milk and berries, or whatever flips your boat, and join me. I don’t bite. We can talk about the weather, or why gummy bears taste the way they do, or bring your own agenda. It’s all good….But wait, there's more.",Non-Smoker with Average body type," Bastrop, Texas ","57 year old Male, 6' 1"" (185cm), Non-religious",Caucasian,yardartntx is looking for a relationship.,Bachelors Degree,Poet,Theoretical Existence Architect,Woman,Long Term,Viewhis relationship needs,View his chemistry results,Socially,Undecided/Open,Single,No,Brown,Green,Yes,No,Over 10 years,Not Ambitious,Cat & Dog,,57,M,Virgo
match_319,5d886cb76dcc122b63b1ae0e,desplumber,I could be the one.,"['Hunting', 'Fishing', 'Hiking in the hill country']",I would like to meet someone that is ready to have fun and be with their lifetime partner that they can't wait to see at the end of the day.I am very athletic and prefer to be outdoors.,Non-Smoker with Athletic body type," San antonio, Texas ","62 year old Male, 5' 10"" (178cm), Christian - other",Caucasian,desplumber is actively seeking a relationship.,High school,Athletic,Plumber / pipe fitter,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Divorced,No,Brown,Brown,Yes,Yes,Over 10 years,Ambitious,No Pets,,62,M,Aquarius
match_32,5d886cb76dcc122b63b1acef,A Mike,"""Really""","['Music', 'Sports', 'Arts']","Italian and Puerto Rican heritage from New York. I have a passion for family, friends, music.My music tastes range from Sinatra, Bennett to R&B to jazz to Salsa. Enjoy sports as well as the arts, dance and theater. Like going to ball games or out listening to music. I love being with my 3 GREAT kids who mean the world too me. I enjoy my own time and being with friends but would be better with someone special.Searching for the one:So what are we all doing on this site?Looking for our Mr. or Mrs. Right?Not how you thought you’d spend Saturday nightSending a message, not knowing what to writeToo fat, too thin, too short or too tallIts morning by the time you’ve gone through them allSo up to bed you finally crawlAnd into your dreams you quickly fallAnd when you awake you hurry like hellBack downstairs to switch on the DellWhich seems to boot up at the pace of a snailTo check your inbox to see if there’s mailYou click on your mailbox and peek with one eyeTo see if anyone bothered to at least say “Hi”Someone has, you’re excited until you read their reply“I’m sorry but you’re not my type……..goodbye”And so you begin your search once moreYou won’t give in because you know the scoreYou find someone you like but there’s one major flawThey’re the same bloody people you E-mailed beforeSo many lonely hearts gathered in one placeLooking for someone to put a smile on their faceHave so many people fallen from grace?Or just stepped aside from the human race?So when you’re next searching, read the text they put inDon’t look to see if they’re fat or thinOr judge them by the shade of their skinBecause the person we seek may lay deep within.Author: cookiemonster67",Non-Smoker with A Few Extra Pounds body type," Austin, Texas ","59 year old Male, 6' 0"" (183cm), Catholic",Caucasian,A Mike is looking for a relationship.,Associates Degree,Blue Collar,Technician,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,,59,M,Virgo
match_320,5d886cb76dcc122b63b1ae0f,u4me2now,Its Better This Way.....,"['Traveling', 'Have traveled to so many countries and 80% of the people in this world are wonderful', '']","Am I kidding myself? Do I have room in my life and or am I willing to make changes for someone in my life? What am I willing to do different?Prepared to receive what you’re looking for? Many of us miss what we want because we haven’t prepared to receive it. Whether you’re a coach, professor, or maybe a Pastor. If you have not prepared your mind you can’t receive the manifestation.You can have what you wish for; what you’ve been thinking of, what you’ve been working for, what you’ve been trying to get, what you’ve been praying for, if you only take time to prepare to receive it. I wound.............I am an entrepreneur on the cusp of greatness, no that’s not an ego driven statement. It’s taken many years and lots of money to get to where I am. Say nothing of loss of friends and relationships! Anyhow, the woman that comes into my life MUST be ready, willing and able to grab an ore and start rowing :o",Non-Smoker with Average body type," Pflugerville, Texas ","63 year old Male, 5' 11"" (180cm), Non-religious",Caucasian,u4me2now is looking for a relationship.,Bachelors Degree,Adventurer,Self Employed Consultant,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Brown,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,Dog,,63,M,Taurus
match_321,5d886cb76dcc122b63b1ae10,bweum,Whatcha doin?,"['Outdoors', 'Travel', 'Beach']","Fun, the sun, the beach and doing thing outside. I love the Siesta Hour and I will always root for the underdog. I love to try and do things that I have not attempted and mastered, ( to my best ability that is, I am not even close to being perfect but I can always try). My favorite holiday is Halloween so I hope you like to dress up and have fun. Speaking of that I am Scandinavian so I love the Renaissance Festival and the Celtic Festival or any reason to wear my family Kilt. I like the simple things and people that are real in appearance and in their hearts. Thanks for reading this far and if you want to go do something let me know. FYI I am very active so if you don't like the sun or being outside, would rather go eat all day instead of going a hike or paddle boarding I am not going to respond so please don't be offended. Thanks and have a great day. ??",Non-Smoker with Athletic body type," Sw austin, Texas ","55 year old Male, 5' 9"" (175cm), Other",Mixed Race,bweum is actively seeking a relationship.,Associates Degree,Adventurer,Mantra ,Woman,Dating,Viewhis relationship needs,View his chemistry results,Socially,Does not want children,Divorced,No,Red,Blue,Yes,Yes,Over 8 years,Ambitious,Dog,Spanish,55,M,Capricorn
match_322,5d886cb76dcc122b63b1ae11,Anthony887766,Hello there!!!,None,Pretty much everything,Non-Smoker with Average body type," San antonio, Texas ","59 year old Male, 5' 8"" (173cm), Non-religious",Hispanic,Anthony887766 wants to date but nothing serious.,Some college,Homebody,Yes,Woman,Friends,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,Prefer Not To Say,All my kids are over 18,Over 5 years,Somewhat Ambitious,No Pets,,59,M,Pisces
match_323,5d886cb76dcc122b63b1ae12,martyk63,Just thought i'd throw a line out in the,"['Photography', 'Camping', 'Fishing']","let's see, for starters i put down ""a few extra pounds"" because i't like to drop about 25...i look about like a football lineman...LOLI like music, live and recorded, I'm an audio/video engineer, so that's natural, i guess, as well as my love for photography, love it when some inspiration hits me for some unique photo. I like almost any kind of music (except rap, if you're talking about abusing your women, or being a criminal, i don't want to listen to you, much less put any money in your pocket...)I'm politically Libertarian/Conservative, so if that's an issue, don't click 'yes', i enjoy political discussions, but don't want to live in one, and you're unlikely to change my views, not because i'm closed minded, I'm a tech geek, so obviously I'm always looking at new things, but I've heard all the Leftist arguments, and know the flaws behind them...I'm looking for a woman to take out sometimes, I'm not desperate for a relationship, I've always been sort of the 'lone wolf' type, so I'm not uncomfortable alone, but very few people really want to be hermits, and live alone in the mountains, and I'm definitely NOT one of thoseI may add to this later, but feel free to ask just about anything...",Non-Smoker with A Few Extra Pounds body type," San antonio, Texas ","56 year old Male, 6' 1"" (185cm), Lutheran",Caucasian,martyk63 wants to date but nothing serious.,High school,Techie,A/V engineer,Woman,Dating,Viewhis relationship needs,View his chemistry results,Socially,Does not want children,Divorced,No,Mixed Color,Blue,Yes,All my kids are over 18,Over 4 years,Ambitious,Cat,,56,M,Pisces
match_324,5d886cb76dcc122b63b1ae13,Vic1944,OutdoorMan,"['Music', 'Sports', 'Cooking']","I am an adventurer enjoy traveling, going to the beach, the hill country and taking mini trips to different places. I like to do outdoor projects such as gardening and working around the house. I enjoy good conversations with a special lady. I would like to find a person who is God following, outgoing, spontaneous, intelligent and lives each day to the fullest.",Non-Smoker with Average body type," San antonio, Texas ","75 year old Male, 5' 7"" (170cm), Catholic",Caucasian,Vic1944 is looking for a relationship.,Associates Degree,Adventurer,Retired,Woman,Dating,Viewhis relationship needs,View his chemistry results,Socially,Undecided/Open,Divorced,No,Mixed Color,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,Spanish,75,M,Cancer
match_325,5d886cb76dcc122b63b1ae14,Biglamp,looking 4 someone with same interest ...,None,"Easy get alone with listen 2 R&B mostly, like spots, cars, walking around parks, just enjoying life ...",Non-Smoker with Athletic body type," Austin, Texas ","55 year old Male, 5' 11"" (180cm), Christian - other",Black,Biglamp is looking for a relationship.,High school,Athletic,Truck Driver,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Black,Brown,Yes,Yes,Over 3 years,Ambitious,No Pets,,55,M,Leo
match_326,5d886cb76dcc122b63b1ae15,1605hartt,It shouldn't be this difficult,None,"I don't receive ""meet me"" notices. Please message me for a response.",Non-Smoker with Average body type," Wimberley, Texas ","61 year old Male, 5' 9"" (175cm), Christian - other",Caucasian,1605hartt is looking for a relationship.,High school,Homebody,Retired ,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Single,No,Brown,Blue,Yes,No,Over 10 years,Somewhat Ambitious,No Pets,,61,M,Pisces
match_327,5d886cb76dcc122b63b1ae16,Davidallen512,I do this later,None,I'll do this later,Smokes Occasionally with Athletic body type," Austin, Texas ","58 year old Male, 5' 7"" (170cm), Christian - other",Black,Davidallen512 is actively seeking a relationship.,Some college,Intellectual,Landscaping,Woman,Long Term,Not Completed,Not Completed,Socially,Prefer Not To Say,Single,No,Black,Brown,Yes,All my kids are over 18,Over 7 years,Very Ambitious,Dog,,58,M,Sagittarius
match_328,5d886cb76dcc122b63b1ae17,natureguy7788,"Easy going, caring and sensual guy","['Outdoors', 'Music and traveling', '']","In great shape as I have been a runner for over 30 years.Love the outdoors. Running, hiking, kayaking, tennis, golf, the beach or just stargazing on a clear night.Like most music and dancing but not an expert. Easy going, caring, compassionate, passionate and I give a great massage.Non practicing Episcopalian but I am spiritual.Socially conscious an environmentalist and liberal.I am semi-retired medical professional and live in South Austin.Looking for a partner to do things together and go from there. Will commit to a long term relationship but I don't want to remarry.Ron",Non-Smoker with Thin body type," Austin, Texas ","70 year old Male, 5' 9"" (175cm), Non-religious",Indian,natureguy7788 is looking for a relationship.,Graduate Degree,Adventurer,Semi retired medical,Woman,Dating,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Black,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,,70,M,Pisces
match_329,5d886cb76dcc122b63b1ae18,bendavis44,EAZY GOING . I LOVE TO ENJOY LIFE.,"['Harleys', 'Guns', 'Good times']",i love life . and what it has to offer. i love out doors .rideing my harley. exploring new places and people. hunting and fishing . im in to all types of music and culture. enough for now . let you know more about my info later as we get to know more about eachother.,Smokes Occasionally with Average body type," Seguin, Texas ","63 year old Male, 5' 10"" (178cm), Christian - other",Caucasian,bendavis44 isn't seeking a relationship or any kind of commitment.,Some college,Blue Collar,retired,Woman,Dating,Not Completed,Not Completed,No,Undecided/Open,Widowed,No,Grey,Brown,Yes,All my kids are over 18,Over 8 years,,No Pets,English,63,M,Sagittarius
match_33,5d886cb76dcc122b63b1acf0,1Austin7777,Sometimes goodbye is a second chance...,"['Traveling', 'Tropical beaches', 'Hiking']","I know my profile is a little long, but we are all looking for that special needle in this massive haystack we call life. If you pass me by because you don't want to take the time to just barely scratch the surface of what I'm about, then thank you...you just made my shiny needle that much more visible!I grew up in Houston, but have lived in the Austin area for the past 30 years. I am honest, hard-working, and a very loving man who's easygoing and loves to have fun. I enjoy traveling (especially somewhere tropical), hiking (I love Colorado in the summer and Big Bend in the early spring and fall), working out, going to the movies, eating out, weekend brunches, going to the gun range, fast roller coasters and amusement parks, hanging out with friends, and just hanging out at home with that special someone. I also have a very strong love for motorcycles and fast cars. I eat clean and workout 5 times a week. It's important to me to stay healthy and fit, and I'm looking for someone who feels the same. I'm 59 but I don't want to look, and I especially don't want to feel like most 59 year old men. I am also a proud veteran of the United States Navy. And on that note, as a veteran and citizen of the greatest country in the world...I absolutely, positively can not stand Donald J. Trump! I think he is a criminal, a racist, a traitor, a disgrace to this country, and an all around disgusting human being! Yeah, I probably should have led with that in my ""Headline"", probably would have saved some of you some time. If I lost you with that comment, sorry... No actually I'm not sorry! OK, so here's where I'm probably going to lose a lot of you. I do watch a little football (usually just the playoffs and the Superbowl), and I do enjoy going to the occasional hockey game in Cedar Park, but I'm definitely not a huge sports fan. I refuse to spend my precious free time sitting in front of a TV all day! I only drink occasionally so I don't really care for the bar scene, but I do enjoy listening to live music. I love my guns and will never turn down a day at the range, but I do not like to hunt and fish. I have nothing against doing that, just not for me. Neither is camping, unless we're talking about a condo, resort, or 5 star hotel with a king size bed, shower and toilet...then I'm all in! I'm not much of a dancer either, but if you're willing to teach me I'm willing to try. I can grill pretty good, but not a very good cook in the kitchen. However, if you need a good sous-chef, I'm your man. Sorry if those last few details are deal breakers, but I thought I'd should put it out there.I'm not perfect by any stretch of the imagination. Like everyone, I've made mistakes in the past, but I feel like I have grown from them. I make a conscious effort to consistently learn and grow everyday, and to give myself the tools I need to always work at being a better version of myself. The past can not be changed, but I will not let the past define my future.If I haven't lost you yet and you're still reading this, then that's perfect because you're the one that this part applies to. There are a lot of attributes I'm looking for in my life partner, but I truly believe there has to be chemistry and a strong physical attraction. I'm looking for a woman with like interests, and one who will expand my horizons! First and foremost, I'm looking for that special someone. Someone who I enjoy being with and who enjoys being with me, and I can be best friends with! I'm looking for that special woman that I can love, spoil, cherish, and adore...and who will want to do the same for me. That woman who puts a smile on my face, and makes my heart skip a beat every time she walks into the room. The one who makes me smile when I first open my eyes in the morning, because she's laying there next to me looking like an angel. That person that I can't stop thinking about when we're apart, and I can't stop loving on when we're together. That special woman whose beauty is not only on the surface, but also runs deep, deep into her soul... and who will light a fire deep into my soul. I'm looking for my Soul Mate, my beautiful shiny needle in a haystack... I know she's out there... maybe she's you!",Non-Smoker with Athletic body type," Austin, Texas ","59 year old Male, 5' 8"" (173cm), Non-religious",Middle Eastern,1Austin7777 is looking for a relationship.,Associates Degree,Hopeless Romantic,Field Service Engineer,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Divorced,No,Bald,Brown,Yes,All my kids are over 18,Over 10 years,Ambitious,No Pets,,59,M,Aquarius
match_330,5d886cb76dcc122b63b1ae19,JoeMax,That’s what she......,None,"The things I like are many. If you want to get to know me better, you know what to do! Come find me.",Non-Smoker with Thin body type," Pflugerville, Texas ","55 year old Male, 5' 8"" (173cm), Christian - other",Black,JoeMax is actively seeking a relationship.,Bachelors Degree,Athletic,Retired,Woman,Long Term,Not Completed,Not Completed,Socially,Does not want children,Single,No,Mixed Color,Brown,Yes,All my kids are over 18,Over 10 years,Very Ambitious,No Pets,,55,M,Aquarius
match_331,5d886cb76dcc122b63b1ae1a,centexlookin,new on the market so please be gentle,"['Horses', 'Travel', 'SUP and quiet nights watching a sunset and the stars']","I’ve got a small ranch in the hill country of Texas where I keep my horses, my dorper sheep flock and dogs and cats. ",Non-Smoker with A Few Extra Pounds body type," Burnet, Texas ","59 year old Male, 5' 10"" (178cm), Non-religious",Caucasian,centexlookin is actively seeking a relationship.,High school,Animal Lover,logistics,Woman,Dating,Not Completed,Not Completed,Socially,Prefer Not To Say,Separated,No,Grey,Brown,Yes,Yes,Over 10 years,Ambitious,Cat & Dog,,59,M,Aries
